1,4,product_name,0
 Amy,sneakers,Arctic-C,5
 Lynn R.,sneakers,Arctic-C,4
 Brenda,sneakers,Arctic-C,5
 Abigail S.,sneakers,Arctic-C,5
 Kathy R.,sneakers,Arctic-C,5
 Marina,sneakers,Arctic-C,5
 Marina,high heels,Restore,1
 Taylor,high heels,Restore,2
 Amanda E.,high heels,Restore,2
 Amanda E.,sneakers,Arctic-C,3
 April H.,sneakers,Arctic-C,5
 Rylee M.,sneakers,Arctic-C,4
 Patti,sneakers,Arctic-C,5
 Taylor,sneakers,Arctic-C,5
 Elaine W.,sneakers,Arctic-C,5
 Suzanne M.,sneakers,Arctic-C,5
 Kellye L.,sneakers,Arctic-C,5
 Jessica M.,sneakers,Arctic-C,5
 Jennifer P.,sneakers,Arctic-C,5
 Kristen,sandals,Botanic-A,5
 Michele Schultz,sandals,Botanic-A,5
 Monica Bowman,sandals,Botanic-A,5
 Abigail S.,sandals,Botanic-A,4
 Loraine S.,sandals,Botanic-A,5
 Paula,sandals,Botanic-A,5
 Heather,sandals,Botanic-A,3
 Lydia R.,sandals,Botanic-A,5
 Amber S.,sandals,Botanic-A,5
 Patrick R.,sandals,Botanic-A,5
 Olivia,sandals,Botanic-A,5
 Hannah,sandals,Botanic-A,5
 thoggarth-2062,sandals,Botanic-A,5
 Ann Marie Riggs,sandals,Botanic-A,5
 Patricia V.,sandals,Botanic-A,5
 Michelle S.,sandals,Botanic-A,5
 Sheila,sandals,Botanic-A,5
 Summer,sandals,Botanic-A,3
 nil,sandals,Botanic-A, no rating
 Megs,sandals,Botanic-A,5
 ava,sandals,Botanic-A,5
 Jessica S.,sandals,Botanic-A,5
 Sue,boots,Bright,5
 Rose M.,boots,Bright,5
 Terry,boots,Bright,5
 Shawna R.,boots,Bright,5
 Romina,boots,Bright,3
 Paola F.,boots,Bright,5
 Marlene,boots,Bright,5
 christine,boots,Bright,5
 Bette,boots,Bright,5
 Sam T.,boots,Bright,5
 Brooke,boots,Bright,5
 Chelsea,boots,Bright,5
 Mai,boots,Bright,5
 Kaitlyn,boots,Bright,5
 Jennifer,boots,Bright,5
 Nikki,boots,Bright,5
 Monica Bowman,slippers,Bare,5
 lupe,slippers,Bare,5
 Emily H.,slippers,Bare,4
 hihi.ruby,slippers,Bare,5
 Astrid,slippers,Bare,5
 Lindsay R.,slippers,Bare,5
 m.canning1994,slippers,Bare,5
 Amanda,slippers,Bare,5
 Emily W.,slippers,Bare,5
 BeeGirl CA,slippers,Bare,5
 Amanda,slippers,Bare,5
 Carley,slippers,Bare,5
 Myra,slippers,Bare,5
 Andrea,slippers,Bare,5
 Francis,slippers,Bare,5
 Carol,slippers,Bare,5
 Sandra,slippers,Bare,5
 Renee,boat shoes,Youth,5
 Laura Mo,boat shoes,Youth,5
 Kellye,boat shoes,Youth,5
 Jocelyn,boat shoes,Youth,5
 Kellye,boat shoes,Youth,5
 Mariam,boat shoes,Youth,5
 Marsha,boat shoes,Youth,5
 Brooke,boat shoes,Youth,5
 Beth,boat shoes,Youth,5
 Eveline T.,boat shoes,Youth,5
 raissa williams,boat shoes,Youth,5
 Amanda,boat shoes,Youth,5
 Aimee F.,boat shoes,Youth,5
 Yasmine,boat shoes,Youth,5
 Ashlee,boat shoes,Youth,5
 Judy,boat shoes,Youth,5
 chana743,boat shoes,Youth,5
 Nancy,boat shoes,Youth,5
 Sylvia Hoke,boat shoes,Youth,5
 Tatiana,boat shoes,Youth,5
 Kris Ann,boat shoes,Youth,5
 Jessica,boat shoes,Youth,5
 Sarah,boat shoes,Youth,5
 Lauren,boat shoes,Youth,5
 Samantha R,boat shoes,Youth,5
 Patricia V.,high heels,Restore,5
 Brenda,high heels,Restore,3
 Dana,high heels,Restore,5
 Susan (Sue) Randall,high heels,Restore,5
 Astrid,high heels,Restore,5
 Joyce Richardson,high heels,Restore,5
 Young Again,high heels,Restore,5
 June Sobel,high heels,Restore,5
 Stephanie Tennant,high heels,Restore,5
 bostonnoodles,high heels,Restore,5
 Jennifer,high heels,Restore,5
 Sophia,high heels,Restore,5
 Betty,high heels,Restore,5
 Sharon,high heels,Restore,5
 Claire,high heels,Restore,5
 Alyssa B,high heels,Restore,5
